1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
-119,-69,-124,-29,-25,-15,129,-124,108,694,-16,-243,-34,-14,239,-154,-47,1422,-119,-119,1026,-94,-18,32,1341,-119,-115,2553,3642,158,1675,605,4682,1921,2806,2101,3477,-124,470,3400,3038,2584,2702,123,657,830,2158,2111,3663,1230,2249,2353,1943,1482,1792,2188,3698,4479,1760,3689,1399,2958,790,2327,1748,2856,2002,3321,1578,2496,3870,3132,84,3263,1616,385,1611,3442,3136,-213,437,3307,3318,4071,4546,4036,89,1223,-60,3999,3568,3603,519,3037,4831,3947,4127,326,1914,5197,2773,6811,1385,5955,519,1006,-119,5918,286,6161,4354,8690,4198,5876,3073,4980,4461,8998,3784,3093,554,2488
-129,-119,25,-24,-114,-119,-24,1638,-114,13,80,-30,-114,-238,-30,140,-109,-18,-42,2148,120,-134,100,11,1395,1836,97,-119,-11,800,1003,2583,4321,-27,-119,2979,1891,2882,4654,1430,1489,3889,3783,2882,1748,1679,1802,2121,3558,2406,2717,4639,3599,3548,5410,723,3679,1664,1004,1718,1980,4199,3352,2878,2379,3888,3889,1510,2749,75,1276,34,3021,1206,1728,1398,4264,-9,2749,817,427,1202,2262,3916,3574,4093,2286,1905,3302,4073,1650,1226,4848,5839,959,-89,4672,-124,-27,2547,6762,3686,6409,4523,-6,3373,26,1922,1796,3266,1290,4257,3194,2067,-119,201,4300,11,2558,1718,6141,5058
-119,108,16,-124,-51,60,-124,-119,-36,-42,-124,2244,-119,-124,1641,947,-12,-104,-124,-104,1810,-119,2016,526,-9,1632,-99,2230,2925,1634,1804,3219,3748,-124,3572,2092,1610,-84,2755,-24,2825,3830,3320,3040,-142,-32,1389,1312,2674,1842,3679,3700,2020,228,24,2250,468,-124,1956,4148,1752,111,1732,3588,3487,-124,2760,2409,1657,2625,121,1536,98,-21,364,774,88,2140,3830,490,436,1115,2006,3577,1803,-119,1371,4861,3123,203,2705,2799,4253,4029,175,2506,-124,2586,6048,588,3243,2140,4138,1591,144,2164,4135,4087,2783,-7,-119,3830,6420,394,4505,6340,6249,3981,2414,5586,4160,3521
-78,18,-7,-119,-119,33,-18,108,-15,-119,-119,-124,-124,1512,1437,2706,-124,1658,-124,-119,-5,1004,814,1331,2980,-124,758,2191,3359,-5,2106,-124,3804,255,2215,3766,2566,-233,-119,3277,-114,1651,2611,4288,2550,3079,643,1906,2460,3203,-1,70,711,1797,2980,550,2050,2141,4402,2,3445,105,1869,2004,1527,2432,262,3930,2626,1619,3440,3077,3007,-42,-47,3001,878,2113,462,4680,-12,3695,1025,4781,2373,2804,2289,2175,3016,3522,3629,-27,890,7388,202,-119,1099,-119,1665,-119,4740,3196,2434,5695,6342,-119,2847,-24,1263,332,2947,6,-9,4700,-119,-119,2662,1433,2307,-114,5998,3594
97,-124,-14,-119,-42,-119,-27,-119,2615,-124,-19,25,-119,6,-33,-79,581,1146,-124,816,-124,2159,5982,-119,1282,-4,2636,-72,207,3559,2236,4595,3582,3957,1722,3198,-33,1317,3441,1397,-114,1452,3293,-14,4126,4545,2234,5019,2734,2908,2034,4292,4201,2787,2973,3967,3037,1711,1863,2721,2730,98,3720,5312,4412,2641,2825,2116,1568,1085,1728,-42,3728,836,1085,2559,1885,1266,907,3120,1010,5586,1489,2564,5260,1478,3113,-33,4197,2665,1705,581,6641,3301,5941,945,4855,5291,1965,7629,2053,3961,5301,615,6364,3367,5737,4281,2609,803,5473,3282,4592,505,3156,-18,842,4761,5543,4034,3067,4796
-21,482,-33,259,-119,-9,606,1348,-48,-119,500,1280,471,-129,-12,779,-46,-124,-124,-33,-124,1094,-99,876,-124,283,81,1135,5327,2654,1474,-34,2685,399,1998,1252,-168,3666,3558,2457,1593,4617,740,-38,1182,1495,-114,4033,-75,2519,-119,-119,2921,3,1995,3268,2572,802,622,3408,-14,4035,71,-36,3444,2134,1536,5232,3632,3577,3320,3358,1559,2474,1486,304,5398,2915,1834,2249,3918,1564,2418,901,-7,-119,6171,8000,4263,6439,3295,1219,3185,6926,783,2797,1325,3361,225,3876,2796,3917,5394,4473,1762,-51,1634,2174,7133,-32,-124,-21,6139,5350,5163,5810,5861,2128,5,-15,5615,3368
-119,-119,-124,-119,475,-99,-98,293,-42,-134,-18,-119,-124,-30,-114,-7,3734,-109,-124,917,-124,1450,1377,2089,-46,-114,685,2809,3139,296,2,2172,-124,3731,2598,3703,3283,1867,3410,2257,3451,1076,2036,1631,6384,2638,1842,2614,1177,2826,1778,2173,1890,3371,2256,2197,4471,1034,2311,2579,-213,3661,203,-124,2873,2693,3937,4785,-33,-124,604,-89,2661,2313,19,3690,2841,1937,4813,-33,414,3206,-124,1260,2708,2870,2856,1726,525,3328,3955,6057,3950,156,6513,-109,3693,2584,8,344,3085,1824,5762,6687,5967,4686,-119,1857,4447,2025,1151,813,2265,-104,4742,6185,5460,2604,6020,1651,2177,3443
-124,-27,-45,-2,-119,-72,-9,-36,-12,10,-54,-124,-183,2057,-183,-119,9,-124,-124,-7,-188,-193,145,35,3386,-124,1812,-119,1760,1448,2761,2472,3396,3894,2117,1110,1035,744,740,3220,3448,3657,-21,907,6,2608,252,-124,2082,1109,-48,3901,3836,3883,1544,4503,3187,4226,1447,4451,3179,2965,3306,4165,2783,-7,2521,682,4252,-10,2689,-52,1622,4457,1062,-65,4698,675,3487,25,2841,-11,3317,3062,2510,1932,2937,320,-51,4661,4031,361,4219,222,6170,2992,2200,1290,2318,478,5160,6258,322,-119,7405,4945,4479,12,6476,4112,22,4548,-23,-124,1624,1171,487,1506,1742,2066,4166,4601
-124,-119,-124,-109,0,-16,461,-73,-124,-124,-48,-119,-114,1067,-45,1154,-228,1933,29,949,1706,-84,1148,2780,490,-213,964,-2,-18,56,878,3345,3966,5318,74,1763,1910,2447,2107,2477,2656,1742,2974,3984,5150,3241,-104,1857,4011,3582,3760,2959,2882,3751,798,3036,3359,1272,1460,2328,1451,-21,319,2034,2699,1276,9,1978,3763,3748,3877,2100,3514,2374,-45,3732,4293,504,4553,1668,-13,199,4814,-178,227,431,3535,2009,1256,4332,3633,3409,2801,-18,768,4139,5590,2322,-114,4555,4667,5908,1758,6106,5644,3563,3461,3371,4849,2738,6048,4234,549,1461,225,1314,4436,-119,4586,6249,3064,6964
-124,252,-124,-124,577,222,-119,-99,-124,526,-124,-119,1411,255,-115,-114,1353,1863,-45,-79,562,-114,-39,3722,-33,1927,3093,393,1067,600,2629,2660,2057,-7,1141,2415,2595,3947,2530,2127,3457,2225,-18,4737,3146,-30,1229,1680,1378,-243,2662,2850,3781,2958,3143,2964,537,1700,1795,2176,3355,3637,2869,2919,961,3125,2945,1179,-33,-48,100,2964,5086,-12,1677,5639,307,-18,80,996,2923,4757,1202,2376,1926,110,5838,-3,4160,1967,5150,4187,360,6934,-13,7051,-193,4316,3042,227,3514,2746,4433,1515,818,3650,-33,3980,4656,-15,1613,3899,3396,5248,5898,1835,1,6414,5353,-114,450,4138
397,482,681,679,653,1365,2103,1638,2615,1641,2860,2316,2689,3521,4318,3014,3734,3601,5435,3236,4427,3394,5982,3722,4676,3031,4013,4661,5327,5871,3734,4900,6060,5698,4661,5323,4027,5839,4654,5499,4712,6061,4795,5288,6384,4637,4093,5019,4768,4884,4711,4833,5346,4566,5410,4588,5562,4479,4596,5220,5474,4199,5690,5312,6522,5362,5593,5232,7447,4519,5638,7202,5165,6484,5619,5639,6348,5784,6059,5274,5281,5625,5544,5148,5448,5928,6320,8000,5585,7124,6595,6469,6641,7388,8915,7051,8969,7595,6878,8422,7619,7751,7279,8000,7405,7079,8777,5986,7133,7601,7142,8690,7537,7146,7573,7417,7081,8998,7127,6566,8784,8018
