Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
1,9,-124,-124,-24,-24,6,-142,-42,-124,114,25,-45,-203,6,-124,-116,-9,4,-223,-124,4,-45,-9,-15,-6,513,-94,-119,-124,-13,103,-50,-147,-100,-182,-19,-124,10,-119,0,-21,74,-223,-77,-45,-124,3,-119,-94,50,513
2,-27,116,89,-18,14,70,-119,-89,15,112,152,-99,-15,16,-157,-57,-39,-119,-9,9,51,33,-36,-35,-119,-124,-79,-134,-124,78,-8,-107,-32,-163,-104,-4,-27,16,-193,-173,16,-208,-27,-124,32,-55,-124,-13,11,-228,152
3,21,96,222,85,21,-29,-10,-11,-3,57,-14,-27,-50,23,-8,-42,-33,-124,-18,-12,0,21,8,-60,-13,-4,-70,-34,11,-7,11,-72,-55,-39,-8,-129,-178,13,-8,-30,-213,-169,105,-93,-35,-36,-41,-15,-150,-36,222
4,-115,24,-52,-16,15,0,127,241,33,-45,-24,-12,3,-183,-24,-21,275,-223,-203,-124,-213,-30,-16,-18,-7,-218,-44,0,-13,-129,250,124,-45,-36,-127,12,-42,-48,-119,18,-15,-119,276,-119,-12,-105,-149,-134,-134,-12,276
5,224,127,-43,12,121,-24,-45,194,18,-119,-24,-24,-104,3,8,-12,-66,-104,-22,-39,34,-124,-15,31,-51,-119,-3,-34,-42,-22,-119,-124,-9,-223,-50,-9,-193,-124,-85,-119,25,-83,-12,-127,-34,-12,-193,-124,-57,265,265
6,80,-64,111,-73,-30,19,99,13,-15,240,15,35,-36,-15,-9,-9,8,5,-110,-120,-24,-5,-22,102,-143,-9,15,-165,-104,-38,-119,-35,-21,23,-33,-115,-33,-12,-12,-124,-88,45,-9,-4,-2,-203,15,-9,-23,-114,240
7,111,64,75,118,-117,30,-100,18,-1,-6,-36,19,-85,-12,-51,94,-51,135,-14,-169,-42,-124,-124,-213,103,-79,-124,13,-38,13,-119,-12,13,-26,-124,-137,-15,-119,-168,-119,138,96,-21,-12,-40,-51,-109,80,-42,45,138
8,126,252,98,97,79,-7,-30,4,121,-139,31,-15,4,-110,-213,-74,-12,-40,-39,-119,-168,-178,40,98,-15,-119,-119,-76,-243,-119,146,-103,-18,-29,-55,-119,-213,-14,-12,-213,-80,-119,-39,-27,-208,126,-10,-48,-14,-48,252
9,220,-170,-112,22,107,13,116,52,-1,-7,14,34,-11,-13,-15,-124,50,-243,-39,9,-119,-9,14,-82,-6,-7,-42,-20,-128,35,-119,-223,-24,-134,-163,-1,235,-218,-85,92,-100,-93,-15,-110,-18,-24,14,-15,-124,-197,235
10,-119,-68,22,36,20,76,24,-95,-1,-18,19,-107,3,139,-48,13,77,-119,-149,-72,-124,-124,-124,-120,8,-42,107,-142,-119,-202,-85,-233,-1,-9,-208,-42,-92,25,-105,-9,-119,-119,-104,-96,-84,-27,-99,-124,-157,-104,139
11,84,6,-9,90,17,138,37,125,112,-9,39,116,-24,24,-45,-124,-73,-58,21,-170,-1,-36,-119,25,-114,-238,16,11,-21,-27,-9,-105,-21,-20,19,-139,-157,117,-9,137,26,-218,24,-104,-18,-153,11,-100,21,-114,138
12,-4,19,201,87,-15,-10,-7,120,-21,67,-51,-9,158,4,-5,9,110,-21,0,-21,-129,-1,-24,-42,-124,3,144,-27,-119,119,-124,-148,-15,71,10,-11,-55,-124,11,-92,-115,-16,14,-125,-120,8,-119,233,-42,-37,233
13,-110,245,-53,101,10,122,-31,-33,1,-134,117,-1,-18,89,-21,-42,-5,6,-119,-115,-109,-15,-53,111,-124,19,-9,4,-39,-19,-89,-9,-8,10,-30,-124,17,-18,-100,-15,-213,-149,-54,14,-114,-33,-36,-107,-119,-158,245
14,122,21,28,127,78,-26,-20,144,-15,0,19,23,-15,-67,-21,2,-8,-39,80,-51,14,-39,-94,-16,-184,-124,-15,-39,-42,-12,19,-115,-139,-1,-183,-12,-124,-13,-9,-46,267,-198,-54,-30,-163,-17,-124,-8,-18,-60,267
15,19,-55,91,132,20,134,46,-100,-46,-5,104,112,139,10,-104,-30,-21,-22,96,13,-9,238,-24,-119,-119,-139,-124,-11,9,5,118,-13,131,-218,-14,7,-154,-31,-119,38,-220,-33,-12,-195,-102,-17,-21,84,-78,18,238
16,-1,-24,91,18,-153,-18,26,24,126,128,-33,20,-57,-30,84,-15,-45,144,24,-114,-145,-119,23,491,93,-36,-21,-117,-124,87,-21,-18,-47,-188,128,-22,109,-157,-79,-13,-27,-124,-47,-9,-92,-33,-33,-248,-226,-124,491
17,542,5,86,-21,-125,113,-23,105,39,-162,-213,-19,23,-6,114,17,-124,-119,-210,-174,-114,-3,0,4,-115,-48,-119,-12,-243,6,1,-30,6,-17,-124,-2,-104,107,3,13,-18,-154,-39,-8,-119,-51,95,142,6,81,542
18,591,-18,40,122,83,82,-76,143,85,21,95,161,25,17,-10,131,-12,-198,-119,-124,-33,12,79,-12,22,-36,-27,-30,15,-114,-119,100,114,-2,-29,-33,120,-45,18,-14,-146,0,-46,-122,-1,-124,-89,-178,-198,91,591
19,450,-4,-48,-16,51,130,-51,118,5,102,-104,82,143,82,107,-5,-119,-119,-22,-82,-2,-42,-26,-124,-119,-36,-39,25,10,-139,-51,-27,-27,116,74,3,95,-112,-33,-33,-72,-154,14,-100,-124,20,-14,255,-119,10,450
20,529,-1,11,146,-12,82,-79,130,-5,22,211,-22,0,-9,19,-119,-159,-110,141,4,-39,93,30,-44,433,-11,-198,10,-124,26,-9,-12,-60,-164,-54,16,76,-20,-18,-15,129,-36,-6,-9,-48,-107,-129,-27,-3,-21,529
21,736,-84,31,-9,49,133,-38,87,45,32,-85,-8,82,-45,-127,12,-10,-15,114,14,-183,-33,92,-94,-27,-20,-27,-24,-130,-5,118,-27,-142,113,-17,134,10,1,-17,-124,204,502,-51,-124,-37,-70,29,9,98,-116,736
22,473,383,-188,100,107,5,130,-198,17,18,104,38,7,-33,34,-104,106,-27,-45,5,-39,24,40,100,112,-68,-12,-5,-36,-29,-129,1,38,-177,88,-42,-29,-192,110,-124,-9,-100,35,-15,-39,85,77,-12,93,-44,473
23,499,67,109,-110,-218,-27,-30,137,23,32,131,-198,38,-41,-25,3,-10,109,-51,236,-28,104,10,-104,-148,5,-10,1,-121,-177,-30,-27,-24,-9,-36,0,-124,-24,-172,-10,-42,-15,-79,-9,-218,-144,-51,-164,5,-119,499
24,721,141,130,169,124,-218,22,649,-79,-243,122,-10,-15,-12,18,-18,235,-159,-149,-32,125,-192,38,-12,-170,-30,-12,-25,-191,-47,17,-9,-54,-9,-129,284,-109,-15,-114,-119,-124,-99,-51,-48,-40,-119,-145,-122,-114,23,721
25,706,263,15,-79,107,-45,89,130,-1,58,-48,9,-9,-12,-7,-25,-45,1,24,-51,86,-33,-208,8,97,8,-15,9,-119,-13,-124,-18,-18,-114,-17,-11,19,18,-57,-38,-278,-8,-193,15,-42,-36,-28,-100,2,100,706
26,580,133,-27,4,-22,-51,126,7,-71,-12,-21,-27,-72,2,14,-15,-124,-36,-20,-5,-21,-213,-12,-48,-4,132,-119,33,-18,-9,-2,-3,-48,-124,-15,-9,-21,-66,-119,15,-82,6,-54,-12,-33,-36,-136,-43,-15,22,580
27,-193,135,161,18,-9,6,20,37,-2,-6,-20,-12,-30,-24,-60,-124,26,-12,-140,-18,-90,-45,-9,-27,-14,-1,79,-54,100,-9,138,-213,-124,-9,-138,-45,-66,-45,-110,228,9,-127,-37,30,-89,-39,-157,-9,-27,2,228
28,-23,97,478,273,14,-179,-23,-2,-42,3,95,-21,-24,10,34,-40,133,-19,-30,-44,-12,-12,39,-110,-4,-25,10,-8,-16,92,13,-21,-109,-18,1,-7,-51,-12,-5,-24,-17,-42,-119,-54,-27,-58,-32,-48,-37,-3,478
29,491,456,-36,9,129,-94,-75,-7,143,-24,-115,-51,-24,-18,-30,2,-237,37,-21,-99,7,-36,-35,1,-18,-27,-18,89,-25,-54,-21,-25,136,-25,-78,-30,5,110,-18,3,-114,9,29,-47,-9,-104,42,-37,-23,-42,491
30,369,6,9,12,105,-26,-27,63,-1,29,-15,-30,-21,-39,-56,-39,-36,355,-57,-12,1,108,-162,30,-33,-9,4,-115,-1,-15,485,-28,18,341,32,5,44,-102,-3,-22,20,-18,235,-39,-24,20,-208,5,-74,-37,485
31,-60,347,-97,324,75,-99,114,23,-18,-30,-67,-94,-15,-9,252,9,-165,-155,-10,-213,-16,113,-45,-18,-61,-26,-58,-4,-50,22,-114,85,8,-115,78,-30,-6,-198,-8,-39,-45,64,-173,-7,18,-129,-14,4,-51,-75,347
32,129,249,3,95,-90,-36,147,131,75,110,123,-31,-35,18,-26,5,131,119,-39,-163,-36,-24,-32,103,-124,40,99,-182,-94,-125,-21,-193,-149,-124,-36,166,-149,-119,127,-6,-193,-24,30,-39,-21,253,-30,-51,0,21,253
33,315,117,-60,-39,246,-10,365,-34,28,-60,-24,105,-24,5,18,152,-9,-100,-169,140,-27,-16,18,237,-193,-39,24,-24,-8,-114,99,119,-45,-36,119,-5,-119,-14,-15,-9,-15,-94,-37,-53,34,-39,131,123,-9,-33,365
34,276,-9,113,149,-23,129,290,-9,-128,32,-134,-26,-9,-9,132,30,-105,-13,29,-4,-45,-27,516,-124,-74,-149,96,-39,-122,222,32,-79,-154,-15,-48,18,-59,171,98,-5,257,-134,-18,19,-4,-155,-94,-157,-13,-198,516
35,98,111,139,442,471,692,-21,222,116,-127,-127,1,9,-155,13,19,0,131,120,-9,235,-11,-104,-8,-145,-21,-36,39,-66,-119,-129,-149,-30,279,238,-19,-127,247,107,-159,-89,78,-30,-16,-119,-96,-193,-34,-43,-80,692
36,481,16,4,686,187,-54,30,16,135,127,358,106,482,34,245,-36,-33,1,-100,-24,-119,565,-118,-168,-119,-9,-114,220,900,335,565,-22,86,-99,26,26,8,-67,-21,-45,-30,-83,-64,54,-89,-34,25,2,-119,40,900
37,-69,497,561,146,246,1396,347,90,744,243,-13,580,9,108,153,92,-48,-54,-70,-119,-89,138,229,-1,654,109,-27,237,-124,-53,96,-158,-51,-119,-197,216,242,-27,22,-124,119,145,-34,-99,193,-119,-15,-48,1355,252,1396
38,492,950,-160,31,553,-24,28,-104,-2,237,6,252,493,277,205,339,-37,119,-166,-110,-119,-124,-124,-33,-119,-45,-139,-24,-30,1214,38,404,152,6,21,-124,14,1059,704,-119,184,0,-124,-115,-36,-94,-94,254,415,361,1214
39,1104,564,111,114,336,-79,472,641,414,456,10,49,-95,122,127,176,-124,632,38,88,434,252,-42,-137,265,-21,423,-115,-29,127,-94,-119,496,-2,7,-124,-43,259,-124,-124,-124,199,-21,-1,-45,-36,20,-125,-124,-115,1104
40,1622,31,28,135,-9,96,641,471,636,596,394,-3,-188,-190,248,3,13,820,-7,-119,313,-60,-243,755,11,14,115,-72,-182,147,228,-112,135,592,-115,267,-18,123,-127,193,34,29,513,-74,-10,-46,-61,13,285,3,1622
41,1242,129,511,36,-109,-97,785,643,19,466,262,138,-94,123,4,-12,110,-121,334,132,675,-193,32,492,22,113,-124,-21,126,-48,-3,116,683,435,-94,283,541,104,-48,-17,-54,569,287,-35,-75,256,396,-188,-102,857,1242
42,1049,140,-94,-9,-152,188,866,147,31,132,-9,1208,6,145,132,179,108,106,-94,127,104,-94,-109,139,879,-124,-124,-14,69,-134,8,292,319,12,371,23,86,-94,1072,-119,116,-12,-12,27,-94,15,18,194,112,-17,1208
43,674,975,1467,283,505,544,86,725,483,-104,472,151,830,500,13,-3,965,275,-5,470,96,-54,248,-1,279,108,-12,-12,259,854,120,-89,232,-11,-149,132,-124,-238,6,-119,322,462,489,-24,1251,19,31,29,-109,340,1467
44,1116,787,679,76,1958,704,29,144,24,-84,148,248,4,463,531,129,-51,166,-119,-21,162,35,-51,524,-193,154,913,138,14,1068,869,449,-74,-112,-28,672,372,722,-7,116,82,-124,87,870,-124,137,41,132,-119,244,1958
45,1354,1064,396,-69,885,39,20,685,121,816,-104,643,151,482,1125,437,153,24,17,21,-89,-87,-41,-60,842,698,1405,222,231,20,-3,138,-119,-8,75,25,1424,-89,494,-117,-4,388,366,447,26,959,154,-30,114,-7,1424
46,1247,237,428,257,791,790,1126,304,1142,134,250,793,249,133,1096,333,27,131,356,1495,641,608,283,13,642,761,493,127,-12,758,917,958,189,17,732,1,151,184,212,468,262,108,0,720,-124,-41,954,494,633,-53,1495
47,1521,1437,1623,623,697,717,854,110,910,675,472,1535,686,135,1019,125,467,110,-124,235,471,-109,244,260,724,683,-104,-152,654,124,2242,326,-54,-119,606,451,587,6,12,-39,995,241,916,-132,885,660,629,384,975,127,2242
48,390,716,1250,982,92,40,524,33,1124,16,231,477,517,127,917,771,1303,139,281,770,110,252,140,-119,-114,16,655,-139,272,1281,1938,776,285,156,1007,136,1224,817,460,93,931,126,645,2027,8,1618,874,776,262,-117,2027
49,1202,661,164,1051,672,764,746,1019,2026,964,350,1221,552,264,1172,1164,749,-1,106,912,102,152,258,232,88,111,465,292,1153,487,1171,133,443,123,976,123,287,578,725,-119,498,-105,129,14,506,486,809,492,2233,19,2233
50,1131,778,701,344,1214,140,615,533,558,882,476,142,611,256,793,905,938,287,155,1641,299,36,725,275,917,2548,277,13,750,117,852,111,19,710,440,-105,36,1773,927,24,133,26,-144,604,18,620,613,1721,522,-40,2548
51,1301,452,1490,-114,262,492,950,1102,1083,797,914,592,854,1621,28,1157,287,616,428,39,170,389,153,647,126,611,655,20,1734,171,1963,1237,458,898,448,23,334,789,478,649,665,36,142,218,120,472,-74,499,136,-84,1963
52,838,408,613,835,1292,2321,185,912,737,505,931,1296,742,833,590,-102,1085,520,159,34,-100,255,16,495,142,-95,522,33,1258,619,266,209,743,780,1296,809,169,-208,344,744,86,-103,485,-104,235,56,555,275,1226,1080,2321
53,1458,1005,1245,2694,1706,519,460,637,347,344,1153,4,495,470,978,474,108,19,20,-124,808,145,257,256,-77,538,281,-38,652,345,232,589,7,554,-77,255,498,972,697,578,141,122,-119,148,631,746,221,476,19,1376,2694
54,1588,521,993,488,1367,921,1494,844,732,290,1544,330,599,721,934,1086,713,242,41,-11,635,2629,264,-109,-113,242,632,123,1613,295,354,366,460,391,-114,110,1138,232,405,384,155,477,349,160,1088,985,182,792,52,655,2629
55,1011,1099,347,592,1478,1081,127,1212,146,1028,38,590,670,1109,478,1556,236,942,-1,380,1061,249,534,94,857,-31,-21,516,34,132,-26,648,467,127,120,933,140,571,126,232,-104,808,199,-59,943,2477,753,-21,485,3,2477
56,1837,739,720,238,525,-64,656,1578,883,1147,1016,484,463,799,335,559,716,19,19,1030,109,2,998,871,-114,933,464,314,-12,-55,34,401,102,463,578,164,134,803,4,136,987,-89,292,1521,-18,292,524,24,464,-1,1837
57,140,1272,3,1008,1284,139,89,622,491,472,1435,579,-114,1735,1052,459,1062,332,-18,560,494,1596,539,807,639,-100,249,763,337,1205,1293,2099,731,592,259,455,897,938,21,715,996,36,1667,34,1366,26,1145,654,-74,1412,2099
58,1698,18,-64,1582,144,1011,1092,818,870,1732,-20,906,1103,1325,187,338,969,-74,676,684,29,756,617,220,25,630,2344,1422,1355,442,647,-54,439,9,-109,-74,1855,706,-119,149,-94,-109,2430,118,888,1267,249,846,-49,626,2430
59,173,907,1909,1520,125,116,903,667,1386,474,1699,1091,2732,563,1717,1367,466,630,587,-124,238,11,-99,587,1284,522,740,511,-59,374,502,-99,968,483,748,601,19,-62,393,96,1516,276,465,1114,-119,116,1042,217,254,129,2732
60,913,954,1353,611,1877,-79,1574,39,929,482,2233,974,1272,2464,-74,19,482,580,9,213,-112,1775,846,302,-94,448,119,319,-99,332,537,-25,-117,159,488,941,452,632,-94,812,236,2204,272,611,237,232,-9,217,299,-7,2464
61,1148,1594,1518,1407,1821,1529,1213,2017,695,1002,779,1031,450,486,711,10,459,184,950,1013,1234,9,-124,470,-124,1875,609,346,543,833,-89,607,29,743,1157,1150,592,155,499,392,26,870,31,723,38,668,31,506,104,577,2017
62,1067,1242,475,997,768,1076,2077,724,1567,822,787,-33,2214,499,1353,139,772,2259,-4,485,822,806,4,80,433,50,1024,1191,1856,463,-168,108,109,-149,-54,629,99,438,916,19,108,1539,619,557,232,149,-92,511,-94,-109,2259
63,3424,1964,460,836,771,849,1323,299,817,1221,566,2906,1015,-114,1658,29,125,482,1256,250,1167,991,1619,464,944,1009,1401,1157,-21,881,1340,24,1165,133,26,18,626,275,-119,1900,2164,808,-124,104,-27,-111,31,1246,1272,-208,3424
64,2515,815,741,2376,755,1165,1684,1430,136,624,988,363,2575,1520,6,252,692,745,49,-22,717,489,-54,-208,127,599,979,1048,416,280,-11,222,-99,1021,274,-1,745,1426,267,513,127,161,10,46,1098,-37,1214,746,-33,-32,2575
65,1002,266,1297,292,2334,1579,747,1343,731,990,555,1110,1174,1017,613,609,476,227,1085,631,63,991,1584,108,1082,-95,600,1427,-34,726,1066,-79,654,520,112,-8,-7,1527,-213,-63,631,-99,904,899,1225,507,47,1095,200,19,2334
66,1118,3109,139,477,931,973,1487,1016,1508,1134,729,1909,93,-74,123,257,602,1386,2429,-99,520,1178,1208,682,2142,745,5,1184,735,2660,286,457,98,-119,-134,-108,332,-124,-74,227,349,35,1281,-119,9,1636,638,472,85,606,3109
67,1173,1384,1068,44,598,758,1264,2372,895,1005,1001,1290,789,667,-118,866,921,55,-109,1475,17,24,552,1049,134,489,-79,862,1232,874,2469,-114,-119,9,1831,661,-121,701,521,494,537,1117,399,1277,124,-228,4,247,1214,1745,2469
68,1744,1416,1334,488,2014,744,476,523,876,-74,1616,789,1984,454,823,988,442,88,1085,-119,41,19,580,492,1505,9,-89,162,546,1090,1049,2072,-109,517,1455,1412,1430,561,1126,1897,698,86,-59,518,524,-203,226,506,874,641,2072
69,1215,1285,21,1068,1083,2564,-74,1006,764,591,2819,636,67,699,493,703,1730,888,1701,514,2332,658,419,927,359,34,1345,498,1009,-119,1741,697,2474,1112,614,-1,137,500,264,1314,478,-114,1094,534,161,260,1177,1516,591,680,2819
70,412,1381,1431,1375,1361,970,775,1050,964,739,823,881,1183,849,2792,197,1531,675,354,668,458,-89,1518,-10,1884,571,304,136,14,369,2864,-74,1019,139,-124,342,2315,29,1637,9,912,-39,453,955,607,1449,758,-6,979,943,2864
71,1469,1030,457,796,732,1067,1487,982,1102,248,-102,2076,2288,1220,413,677,538,1010,103,-119,380,2286,2775,51,971,323,1443,2120,-124,790,990,-85,823,241,1075,1832,-17,1510,105,220,838,-45,986,1059,2419,864,-124,-119,1185,451,2775
72,1628,2056,720,1730,2225,1766,1415,1360,683,2128,594,1523,3380,682,1002,287,392,691,34,1467,264,1150,214,-119,546,182,329,-74,1580,753,1505,534,337,31,262,2601,344,994,1398,29,720,-110,348,-119,973,216,1349,-24,108,1679,3380
73,1705,2117,2848,1264,772,-74,509,1457,2927,1885,-59,1780,1108,1160,617,88,796,2455,1628,595,271,184,1271,949,1449,959,753,1242,169,1217,2618,1756,134,961,-119,1333,137,154,276,1796,1806,645,457,573,-94,975,558,1333,484,671,2927
74,2013,1221,1140,547,930,467,2617,1378,1233,639,1381,1122,1303,500,1188,1102,1302,929,-54,1309,607,853,192,1598,-89,-74,267,633,822,1289,568,161,159,1028,39,-16,94,1466,1829,-124,2314,112,248,714,154,2237,512,1917,1297,-124,2617
75,858,2383,1511,838,1064,1260,1668,1488,2214,780,1269,235,757,1477,2394,2050,2347,-21,1013,1400,1614,606,1363,772,1220,123,956,-94,1233,1342,36,1307,854,1800,1280,464,784,1119,1010,1091,219,603,892,378,-89,632,1361,496,2187,3141,3141
76,2925,257,1198,1070,1378,745,1916,684,572,375,1856,485,619,513,819,1056,640,13,207,790,508,629,1377,1879,-79,519,-94,634,41,1908,1515,-179,472,1451,-114,129,1221,2323,-89,-167,132,1219,1743,2000,321,1041,1094,1343,-142,2082,2925
77,1197,1152,1256,1480,859,1513,1983,2125,779,1143,277,2100,1304,1497,899,-89,856,432,324,436,772,1204,487,1455,1341,349,408,1109,150,1,-146,405,500,793,468,468,534,354,505,1870,1588,1048,113,588,1113,-124,-69,483,200,1259,2125
78,802,1030,948,1441,1436,643,952,34,1139,1886,1308,1136,2295,872,1343,479,473,29,696,1505,2916,-124,138,1482,529,373,124,1829,1538,468,862,-119,626,776,509,1296,1695,24,486,-119,-119,-84,-124,943,808,2730,-94,869,2162,-104,2916
79,878,-84,1272,1490,322,1412,1328,-94,1378,1105,2984,1604,729,3195,1547,-94,-119,626,1060,-69,-94,1913,252,-69,24,1612,525,14,535,380,-114,770,2462,1350,-82,2091,1329,-172,-59,861,477,670,1162,243,-124,1101,969,485,-69,2282,3195
80,1590,521,1128,1248,976,1065,599,804,3161,614,1124,1165,225,1257,675,1702,1658,717,-96,-99,760,1671,1458,282,1694,1055,2343,-119,651,619,11,1299,262,1514,-87,-37,-119,2024,626,1611,-178,956,1467,1283,19,-119,84,19,-119,482,3161
