Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
152,971,3760,2980,2218,1036,2246,853,1199,1206,486,2169,961,1973,1335,3073,1005,1379,257,885,1610,2265,1363,1073,-124,1281,1869,1565,1811,1647,2021,1065,404,815,1778,1843,1574,1879,823,256,362,150,4559,714,1366,506,931,1078,-89,1195,2185,4559
153,1551,2404,1575,159,1523,1225,1446,2033,1528,1783,1894,1073,983,797,752,1782,1285,834,-187,506,1245,244,1597,3127,1321,2185,16,2632,3132,-8,2442,1032,803,149,-134,239,-153,128,70,1763,-30,14,2163,1622,-24,752,192,2885,1377,1620,3132
154,1573,1941,2001,1749,1072,2940,1899,1460,570,277,1838,1686,989,149,3272,1047,1053,827,-124,-139,709,-124,904,252,830,2773,1452,-84,869,-84,265,-99,1029,1419,-109,1847,-82,1006,1286,-39,205,1157,1489,946,-82,-147,477,445,2533,46,3272
155,1206,2062,1223,757,2219,1360,2630,1759,2612,1874,998,1939,2879,1907,1984,132,607,871,3103,19,214,1315,654,449,1033,2576,-50,118,1231,2104,2037,26,-119,485,983,21,1173,38,1694,-124,31,221,510,2712,1036,1934,2805,1276,116,1683,3103
156,971,2583,1596,2328,4937,2594,2019,1650,3310,1828,2830,1438,1511,1619,2020,1201,244,1349,131,-119,-119,-119,2072,448,839,2325,2215,24,-119,2176,973,2085,953,-26,2657,1497,-117,208,1538,-89,734,137,124,165,-213,3119,2172,-72,-104,146,4937
157,974,3009,1789,1357,1000,1721,1135,1223,2040,1558,1868,579,1725,1099,1582,632,363,-89,1810,2249,2653,1085,1213,237,342,2642,-119,-5,2544,889,582,132,896,1637,121,579,504,219,-84,1798,1058,2063,1466,740,104,1883,2397,2087,1678,621,3009
158,1581,763,1580,2692,1105,1244,891,2070,2622,1357,979,1360,1983,1640,550,1178,1939,-54,97,966,474,1721,-188,1785,1860,-119,1012,242,2238,1710,1204,399,2344,1552,676,-124,978,1825,-84,-119,1507,29,639,1474,1769,-152,1339,908,1058,1711,2692
159,1017,1679,1963,2396,980,1535,2396,1024,1405,256,759,2346,1941,1514,1247,1429,1100,669,1343,692,-131,227,1415,1503,1859,-124,1491,-124,1739,-114,205,577,-119,2257,498,1137,1933,830,1544,784,-94,230,-69,243,1603,1048,2595,1805,670,1315,2595
160,29,1240,1445,1896,797,1621,580,2117,1868,2861,1352,1236,1083,1216,1847,1399,1392,243,1465,1662,-119,1653,2582,4,1068,1758,2453,1701,1238,520,1190,132,1281,1096,247,805,39,1793,31,920,2801,13,2925,2073,-50,1115,1343,1726,1132,1100,2925
161,2089,253,1762,2622,829,2069,27,1483,745,1248,1696,2262,1414,1489,1811,1187,1222,1487,-54,-20,-124,2947,480,1568,3125,31,-124,-124,-69,1050,971,1034,672,1488,1882,-130,1929,-124,207,118,-24,2178,159,1242,1589,-104,513,61,1802,49,3125
